SIC Code,Description
01110,"Growing of cereals (except rice), leguminous crops and oil seeds"
01120,Growing of rice
01130,"Growing of vegetables and melons, roots and tubers"
01140,Growing of sugar cane
01150,Growing of tobacco
01160,Growing of fibre crops
01190,Growing of other non-perennial crops
01210,Growing of grapes
01220,Growing of tropical and subtropical fruits
01230,Growing of citrus fruits
01240,Growing of pome fruits and stone fruits
01250,Growing of other tree and bush fruits and nuts
01260,Growing of oleaginous fruits
01270,Growing of beverage crops
01280,"Growing of spices, aromatic, drug and pharmaceutical crops"
